,index,Player,G,GS,MP,FG,WS,BPM,VORP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,HOF,all_star_appear,URL,nba_champ,all_defensive,all_star_mvp,league_mvp,scoring_champ,all_nba,finals_mvp,def_poy,stl_champ,ast_champ,trb_champ,blk_champ
10,11,Allan Houston,839.0,727.0,28311.0,5337.0,55.20000000000001,-13.4,9.9,12017.0,1305.0,3247.0,4032.0,8770.0,2572.0,2979.0,353.0,2081.0,2434.0,1990.0,566.0,139.0,1760.0,14551.0,0,2.0,houstal01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,Allen Iverson*,1064.0,1042.0,43303.0,9532.0,108.69999999999997,20.699999999999996,46.0,22369.0,1158.0,3704.0,8374.0,18665.0,7235.0,9256.0,814.0,3025.0,3839.0,6488.0,2213.0,185.0,3740.0,27457.0,1,11.0,iversal01,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0
12,13,Allen Leavell,700.0,244.0,16248.0,2549.0,29.799999999999997,-19.200000000000003,3.5000000000000004,5666.0,141.0,603.0,2408.0,5063.0,1445.0,1733.0,294.0,870.0,1164.0,3339.0,929.0,120.0,1324.0,6684.0,0,0.0,leaveal01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,Alonzo Mourning*,875.0,703.0,26677.0,5216.0,90.9,4.100000000000007,23.899999999999995,9913.0,22.0,89.0,5194.0,9824.0,4139.0,6003.0,2237.0,5098.0,7335.0,964.0,422.0,2430.0,2266.0,14593.0,1,7.0,mournal01,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
14,15,Alton Lister,1017.0,601.0,19700.0,2565.0,37.49999999999999,-40.8,7.500000000000002,5012.0,1.0,9.0,2564.0,5003.0,1310.0,2190.0,1911.0,4365.0,6276.0,933.0,357.0,1515.0,1498.0,6441.0,0,0.0,listeal01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,Alvan Adams,988.0,342.0,27203.0,5709.0,73.4,44.99999999999999,39.400000000000006,11464.0,2.0,15.0,5707.0,11449.0,2490.0,3160.0,2015.0,4922.0,6937.0,4012.0,1289.0,808.0,2194.0,13910.0,0,1.0,adamsal01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,Alvin Robertson,848.0,734.0,26675.0,4659.0,55.50000000000001,43.29999999999999,39.300000000000004,9784.0,276.0,922.0,4383.0,8862.0,1906.0,2579.0,1728.0,2607.0,4335.0,4192.0,2267.0,341.0,2249.0,11500.0,0,4.0,roberal01,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0
17,18,Amar'e Stoudemire,905.0,711.0,27499.0,6184.0,96.10000000000001,-8.799999999999999,16.900000000000002,11499.0,30.0,131.0,6154.0,11368.0,4276.0,5630.0,2139.0,4822.0,6961.0,1095.0,665.0,1092.0,2031.0,16674.0,0,6.0,stoudam01,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19,Andre Iguodala,976.0,759.0,33834.0,4543.0,89.1,38.60000000000001,43.1,9776.0,908.0,2705.0,3635.0,7071.0,2689.0,3764.0,941.0,4192.0,5133.0,4396.0,1548.0,463.0,1991.0,12683.0,0,1.0,iguodan01,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,20,Andre Miller,1562.0,1024.0,45930.0,6769.0,112.0,-3.5000000000000013,33.4,14640.0,218.0,986.0,6551.0,13654.0,4379.0,5444.0,1547.0,3934.0,5481.0,9717.0,1738.0,252.0,3545.0,18135.0,0,0.0,millean02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,21,Andrei Kirilenko,797.0,546.0,23916.0,3146.0,75.39999999999999,48.39999999999999,42.4,6637.0,367.0,1185.0,2779.0,5452.0,2772.0,3675.0,1400.0,2952.0,4352.0,2169.0,1097.0,1461.0,1518.0,9431.0,0,1.0,kirilan01,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
