Player,G,GS,MP,FG,WS,BPM,VORP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,HOF,all_star_appear,URL,nba_champ,all_defensive,all_star_mvp,league_mvp,scoring_champ,all_nba,finals_mvp,def_poy,stl_champ,ast_champ,trb_champ,blk_champ
Don Nelson*,1053,0,21685,4017,74.6,0.5,3.1,8373,0,0,4017,8373,2864,3744,273,723,5192,1526,65,35,0,10898,1,0,nelsodo01,5,0,0,0,0,0,0,0,0,0,0,0
Earl Monroe*,989,0,30973,7193,80,-6.6,7,15560,0,0,7193,15560,3817,4737,260,976,2896,3736,473,121,305,18203,1,4,monroea01,1,0,0,0,0,1,0,0,0,0,0,0
Ed Macauley*,641,0,18071,3742,100.5,0,0,8589,0,0,3742,8589,3750,4929,0,0,4325,2079,0,0,0,11234,1,7,macaued01,1,0,1,0,0,4,0,0,0,0,0,0
Elgin Baylor*,846,0,33863,8693,104.1,0,0,20171,0,0,8693,20171,5763,7391,0,0,11463,3650,0,0,0,23149,1,11,bayloel01,0,0,1,0,0,10,0,0,0,0,0,0
Elvin Hayes*,1303,129,50000,10976,120.8,4.1,23.3,24272,5,34,10971,24238,5356,7999,2778,6973,16279,2398,864,1771,1358,27313,1,12,hayesel01,1,2,0,0,0,6,0,0,0,0,2,0
Frank Ramsey*,623,0,15330,2949,49.1,0,0,7382,0,0,2949,7382,2480,3083,0,0,3410,1134,0,0,0,8378,1,0,ramsefr01,7,0,0,0,0,0,0,0,0,0,0,0
Gail Goodrich*,1031,0,33527,7431,76.6,-3.8,5.5,16300,0,0,7431,16300,4319,5354,453,651,3279,4805,545,72,390,19181,1,5,goodrga01,1,0,0,0,0,1,0,0,0,0,0,0
George Gervin*,791,377,26536,8045,88.2,12.5,23.3,15747,77,259,7968,15488,4541,5383,1186,2421,3607,2214,941,670,2137,20708,1,12,gervige01,0,0,1,0,0,7,0,0,0,0,0,0
George Yardley*,533,0,17606,3639,65.3,0,0,8614,0,0,3639,8614,2994,3841,0,0,4651,880,0,0,0,10272,1,6,yardlge01,0,0,0,0,0,2,0,0,0,0,0,0
Gus Johnson*,581,0,20140,4126,35.7,0,0,9383,0,0,4126,9383,1692,2420,0,0,7379,1541,0,0,0,9944,1,5,johnsgu01,0,2,0,0,0,4,0,0,0,0,0,0
Guy Rodgers*,971,0,30209,4273,32.9,0,0,11334,0,0,4273,11334,2272,3136,0,0,3941,7297,0,0,0,10818,1,4,rodgegu01,0,0,0,0,0,0,0,0,0,2,0,0
Hakeem Olajuwon*,1238,1186,44222,10749,162.6,78.9,77.2,20991,25,124,10724,20867,5423,7621,4034,9714,13748,3058,2162,3830,3667,26946,1,12,olajuha01,2,9,0,1,0,12,2,2,0,0,2,3
Hal Greer*,1122,0,39788,8504,102.7,0,0,18811,0,0,8504,18811,4578,5717,0,0,5665,4540,0,0,0,21586,1,10,greerha01,1,0,1,0,0,7,0,0,0,0,0,0
Harry Gallatin*,630,0,15813,2653,75.5,0,0,6578,0,0,2653,6578,3103,3998,0,0,6684,1145,0,0,0,8409,1,7,gallaha01,0,0,0,0,0,2,0,0,0,0,1,0
Isiah Thomas*,979,971,35516,7194,80.8,25.9,37.5,15904,398,1373,6796,14531,4036,5316,951,2527,3478,9061,1861,249,3682,18822,1,12,thomais01,2,0,2,0,0,5,1,0,0,1,0,0
